,Country,State
0,Afghanistan,Nuristan
1,Albania,Tepelenë District
2,Albania,Tirana District
3,Albania,Tropojë District
4,Algeria,Aïn Defla
5,Algeria,Annaba
6,Algeria,Illizi
7,Algeria,Mostaganem
8,Algeria,Sidi Bel Abbès
9,Algeria,Souk Ahras
10,Algeria,Tamanghasset
11,Algeria,Tiaret
12,Algeria,Tissemsilt
13,Algeria,Touggourt
14,Andorra,Andorra la Vella
15,Andorra,Ordino
16,Argentina,Neuquén
17,Argentina,San Luis
18,Azerbaijan,Tartar District
19,Azerbaijan,Tovuz District
20,Bangladesh,Northern
21,Barbados,Tangail District
22,Barbados,Thakurgaon District
23,Belarus,Saint James
24,Belarus,Saint Thomas
25,Benin,Toledo District
26,Bhutan,Saint George's
27,Bhutan,Sandys
28,Bhutan,Smith's
29,Bolivia,Thimphu District
30,Bolivia,Trashigang District
31,Bolivia,Trongsa District
32,Bolivia,Tsirang District
33,"Bonaire, Sint Eustatius and Saba",Tarija Department
34,New Caledonia,Sint Eustatius
35,Brunei,Temburong District
36,Brunei,Tutong District
37,Cameroon,Adamawa
38,Cameroon,Littoral
39,Canada,Alberta
40,Canada,Ontario
41,Cape Verde,São Domingos
42,Cape Verde,São Lourenço dos Órgãos
43,Cape Verde,Sotavento Islands
44,Chad,Logone Occidental
45,Chad,Logone Oriental
46,Chile,Antofagasta
47,Chile,Arica y Parinacota
48,Chile,Atacama
49,China,Guangdong
50,China,Guangxi Zhuang
51,Colombia,Antioquia
52,Colombia,Arauca
53,Colombia,"Archipiélago de San Andrés, Providencia y Santa Catalina"
54,Czech Republic,Jihočeský kraj
55,Czech Republic,Jihomoravský kraj
56,Czech Republic,Nový Jičín
57,Czech Republic,Ostrava-město
58,Czech Republic,Vyškov
59,Cook Islands,Ituri
60,Democratic Republic of the Congo,North Denmark Region
61,Dominica,El Seibo Province
62,Dominica,Espaillat Province
63,Dominica,San Pedro de Macorís
64,East Timor,Santo Domingo de los Tsáchilas
65,East Timor,Sucumbíos
66,Ecuador,Alexandria
67,Equatorial Guinea,Northern Red Sea Region
68,Estonia,Addis Ababa
69,Faroe Islands,Northern Division
70,Finland,Essonne
71,Finland,Eure
72,Finland,Seine-Saint-Denis
73,Finland,Territoire de Belfort
74,French Southern Territories,Estuaire Province
75,Gabon,North Bank Division
76,Gambia The,Abkhazia
77,Gambia The,Adjara
78,Gambia The,Imereti
79,Germany,Northern
80,Gibraltar,East Macedonia and Thrace
81,Gibraltar,Thessaloniki Regional Unit
82,Guam,Totonicapán Department
83,Guernsey and Alderney,Nzérékoré Region
84,Guinea-Bissau,East Berbice-Corentyne
85,Hungary,Northeastern Region
86,Hungary,Northwestern Region
87,Iceland,Himachal Pradesh
88,Iceland,Mizoram
89,Indonesia,North Khorasan
90,Iran,Al Muthanna
91,Iran,Kirkuk
92,Iraq,Wicklow
93,Ireland,Tel Aviv District
94,Israel,Alessandria
95,Israel,Ancona
96,Israel,Apulia
97,Israel,Oristano
98,Italy,Hanover Parish
99,Jamaica,Ehime Prefecture
100,Jersey,Aqaba
101,Jersey,Karak
102,Jordan,North Kazakhstan Region
103,Jordan,Nur-Sultan
104,Kazakhstan,Uasin Gishu
105,Kuwait,Al Jahra
106,Kyrgyzstan,Naryn Region
107,Lesotho,Thaba-Tseka District
108,Libya,Tripoli District
109,Malaysia,Northern Region
110,Malaysia,Thyolo District
111,Maldives,Negeri Sembilan
112,Mali,Laamu Atoll
113,Mali,Lhaviyani Atoll
114,Man (Isle of),St. Julian's
115,Mauritius,Assaba
116,Mauritius,Inchiri
117,Mauritius,Tagant
118,Mayotte,Saint Brandon Islands
119,Micronesia,Nuevo León
120,Monaco,Taraclia District
121,Monaco,Telenești District
122,Monaco,Transnistria autonomous territorial unit
123,Mozambique,Al Hoceïma
124,Mozambique,L'Oriental
125,Mozambique,Taourirt
126,Mozambique,Taroudannt
127,Mozambique,Tiznit
128,New Zealand,Sint Eustatius
129,Niger,Nelson Region
130,Niger,Northland Region
131,Niger,Tasman District
132,Norfolk Island,Abia
133,Norfolk Island,Adamawa
134,Norfolk Island,Anambra
135,Norfolk Island,Ondo
136,Norfolk Island,Oyo
137,Norway,Oslo
138,Oman,Al Wusta
139,Oman,Musandam
140,Papua new Guinea,Eastern Highlands Province
141,Papua new Guinea,Enga Province
142,Peru,Arequipa
143,Philippines,Abra
144,Philippines,Aurora
145,Philippines,Occidental Mindoro
146,Philippines,Oriental Mindoro
147,Poland,Podkarpackie Voivodeship
148,Poland,Podlaskie Voivodeship
149,Poland,Pomeranian Voivodeship
150,Puerto Rico,Aguada
151,Puerto Rico,Aguadilla
152,Puerto Rico,Salinas
153,Qatar,Al-Shahaniya
154,Romania,Alba
155,Russia,Chechen Republic
156,Russia,Chuvash Republic
157,Russia,Tambov Oblast
158,Russia,Tomsk Oblast
159,Russia,Tula Oblast
160,Russia,Tver Oblast
161,Russia,Tyumen Oblast
162,Rwanda,Eastern Province
163,Saint Kitts And Nevis,Saint Kitts
164,Samoa,A'ana
165,Samoa,Atua
166,San Marino,Acquaviva
167,Saudi Arabia,Eastern Province
168,Saudi Arabia,Najran
169,Senegal,Kaolack
170,Senegal,Matam
171,Senegal,Saint-Louis
172,Serbia,Toplica District
173,Seychelles,Saint Louis
174,Sierra Leone,Eastern Province
175,Sint Maarten (Dutch part),Nitra Region
176,Somalia,Eastern Cape
177,Somalia,Gauteng
178,South Korea,A Coruña
179,South Korea,Almeria
180,South Korea,Araba
181,South Sudan,Eastern Province
182,South Sudan,Trincomalee District
183,Spain,North Kordofan
184,Spain,Northern
185,Swaziland,Nidwalden
186,Sweden,As-Suwayda
187,Taiwan,Arusha
188,Tajikistan,Maha Sarakham
189,Tajikistan,Nakhon Sawan
190,Tajikistan,Nan
191,Tajikistan,Trat
192,Bahrain,South Andros
193,Bahrain,Spanish Wells
194,Togo,Arima
195,Tokelau,Ariana
196,Tonga,Adana
197,Tonga,Amasya
198,Tonga,Ankara
199,Tonga,Antalya
200,Tonga,Edirne
201,Tonga,Karabük
202,Tonga,Sivas
203,Tonga,Tokat
204,Turkmenistan,Northern Region
205,Turkmenistan,Tororo District
206,Turks And Caicos Islands,Autonomous Republic of Crimea
207,Turks And Caicos Islands,Ternopilska oblast
208,Uganda,East Ayrshire
209,Uganda,East Dunbartonshire
210,Uganda,East Renfrewshire
211,Uganda,East Riding of Yorkshire
212,Uganda,Larne Borough Council
213,Uganda,Limavady Borough Council
214,Uganda,Lisburn City Council
215,Uganda,Liverpool
216,Uganda,Mid and East Antrim
217,Uganda,"Newry, Mourne and Down"
218,Uganda,Scottish Borders
219,Uganda,Shetland Islands
220,Uganda,St Helens
221,Uganda,Stockton-on-Tees
222,Ukraine,Alabama
223,Ukraine,Alaska
224,Ukraine,American Samoa
225,Ukraine,Arizona
226,Ukraine,Ohio
227,United States,Namangan Region
228,United States,Navoiy Region
229,United States,Tashkent
230,Uzbekistan,Aragua
231,Uzbekistan,Yaracuy
232,Vanuatu,Hà Tĩnh
233,Vanuatu,Hồ Chí Minh
234,Vanuatu,Hòa Bình
235,Vanuatu,Nghệ An
236,Vanuatu,Ninh Thuận
237,Venezuela,Saint Thomas
238,Virgin Islands (US),Hajjah
239,Wallis And Futuna Islands,Eastern Province
240,Afghanistan,Nuristan
241,Albania,Tepelenë District
242,Albania,Tirana District
243,Albania,Tropojë District
244,Algeria,Aïn Defla
245,Algeria,Annaba
246,Algeria,Illizi
247,Algeria,Mostaganem
248,Algeria,Sidi Bel Abbès
249,Algeria,Souk Ahras
250,Algeria,Tamanghasset
251,Algeria,Tiaret
252,Algeria,Tissemsilt
253,Algeria,Touggourt
254,Andorra,Andorra la Vella
255,Andorra,Ordino
256,Argentina,Neuquén
257,Argentina,San Luis
258,Azerbaijan,Tartar District
259,Azerbaijan,Tovuz District
260,Bangladesh,Northern
261,Barbados,Tangail District
262,Barbados,Thakurgaon District
263,Belarus,Saint James
264,Belarus,Saint Thomas
265,Benin,Toledo District
266,Bhutan,Saint George's
267,Bhutan,Sandys
268,Bhutan,Smith's
269,Bolivia,Thimphu District
270,Bolivia,Trashigang District
271,Bolivia,Trongsa District
272,Bolivia,Tsirang District
273,"Bonaire, Sint Eustatius and Saba",Tarija Department
274,New Caledonia,Sint Eustatius
275,Brunei,Temburong District
276,Brunei,Tutong District
277,Cameroon,Adamawa
278,Cameroon,Littoral
279,Canada,Alberta
280,Canada,Ontario
281,Cape Verde,São Domingos
282,Cape Verde,São Lourenço dos Órgãos
